alpha_code,resolved_sci_name
MUZ,Perna canaliculus
MSC,Aulacomya ater
MSX,Mytilidae
SVE,Chamelea gallina
CTS,Venerupis pullastra
VNA,Venerupis aurea
VNR,Venerupis rhomboides
KLK,Callista chione
KNU,Chione stutchburyi
HCJ,Meretrix lusoria
HCX,Meretrix
CTG,Ruditapes decussatus
CLJ,Ruditapes philippinarum
TPS,Ruditapes
ITT,Pitar rostratus
TWG,Tawera gayi
TVM,Tivela mactroides
VEV,Venus verrucosa
KNJ,Cyclina sinensis
BCL,Saxidomus giganteus
FAG,Paphia gallus
NCL,Paphia
PTS,Protothaca staminea
TCL,Protothaca thaca
CLH,Mercenaria mercenaria
CLV,Veneridae
HCL,Pseudocardium sybillae
TQU,Tresus nuttallii
TQZ,Tresus
MTV,Mactra veneriformis
MAG,Mactra glabrata
CLB,Spisula solidissima
CLT,Spisula polynyma
ULO,Spisula solida
ULT,Spisula subtruncata
SSD,Spisula
MUN,Mulinia
GKL,Glycymeris glycymeris
DON,Donax
RAZ,Solen
CLR,Ensis directus
EQE,Ensis ensis
EQI,Ensis siliqua
RAP,Siliqua patula
SOI,Solenidae
CLS,Mya arenaria
GEC,Panopea generosa
YMX,Polymesoda expansa
CMJ,Corbicula japonica
CMA,Corbicula fluminea
KTG,Cerastoderma glaucum
COC,Cerastoderma edule
KCL,Clinocardium nuttallii
TIX,Trachycardium muricatum
COZ,Cardiidae
AFQ,Paphies australis
CLM,Mesodesma donacium
TDG,Tridacna gigas
TDD,Tridacna derasa
TDS,Tridacna squamosa
DKC,Tridacna crocea
DKX,Tridacna maxima
QQX,Tridacna
HIP,Hippopus hippopus
TQY,Atrina
FSV,Asaphis violascens
OIF,Soletellina diphos
TUW,Semele solida
SVT,Sinonovacula constricta
FRL,Pharus legumen
TWL,Tellina
OBN,Scrobicularia plana
CLX,Bivalvia
CTC,Sepia officinalis
IAH,Sepia pharaonis
CTL,Sepiidae
SQP,Loligo gahi
SQO,Loligo opalescens
SQL,Loligo pealeii
SQR,Loligo vulgaris
OJD,Loligo duvaucelii
CHO,Loligo reynaudii
SQF,Loligo forbesi
SQC,Loligo
UHL,Sepioteuthis lessoniana
OUW,Alloteuthis
OFJ,Ommastrephes bartrami
SQI,Illex illecebrosus
SQM,Illex coindetii
SQA,Illex argentinus
TDQ,Todaropsis eblanae
GIS,Dosidicus gigas
SQE,Todarodes sagittatus
TFP,Todarodes filippovae
SQJ,Todarodes pacificus
TSQ,Nototodarus sloanii
SQS,Martialia hyadesi
SQU,Loliginidae
OIJ,Onykia ingens
UHB,Onykia robusta
PRD,Pareledone
OCC,Octopus vulgaris
OQY,Octopus maya
OCZ,Octopus
EOI,Eledone cirrhosa
EDT,Eledone moschata
OCM,Eledone
OCT,Octopodidae
YTT,Berryteuthis magister
GDW,Gonatidae
CEP,Cephalopoda
MOF,Mollusca
MOL,Mollusca
MSH,Ex Mollusca
SSL,Eumetopias jubatus
SEN,Callorhinus ursinus
NSL,Phocarctos hookeri
SEF,Arctocephalus australis
SEK,Arctocephalus pusillus
SNZ,Arctocephalus forsteri
SEL,Otaria flavescens
WAL,Odobenus rosmarus
SES,Mirounga leonina
SLP,Hydrurga leptonyx
SEH,Phoca groenlandica
SEC,Phoca vitulina
SER,Phoca hispida
SLR,Phoca fasciata
SAC,Phoca caspica
SBK,Phoca sibirica
SST,Phoca largha
SEB,Erignathus barbatus
SEZ,Cystophora cristata
SEG,Halichoerus grypus
SXX,Otariidae
SEW,Trichechus inunguis
BCW,Ziphius cavirostris
BBW,Mesoplodon densirostris
BWW,Mesoplodon bidens
BGW,Mesoplodon europaeus
TSW,Mesoplodon layardii
BDW,Mesoplodon bowdoini
BJW,Mesoplodon stejnegeri
MEP,Mesoplodon
BOW,Hyperoodon ampullatus
BEW,Berardius bairdii
SPW,Physeter macrocephalus
IRD,Orcaella brevirostris
IDB,Orcaella heinsohni
FAW,Pseudorca crassidens
PIW,Globicephala melas
SHW,Globicephala macrorhynchus
GLO,Globicephala
DCO,Delphinus delphis
DCZ,Delphinus capensis
DRR,Grampus griseus
MEW,Peponocephala electra
TUC,Sotalia fluviatilis
TZG,Sotalia guianensis
DHI,Sousa chinensis
RTD,Steno bredanensis
KIW,Orcinus orca
RNW,Lissodelphis borealis
CMD,Cephalorhynchus commersonii
HCD,Cephalorhynchus hectori
DWP,Lagenorhynchus obliquidens
DDU,Lagenorhynchus obscurus
BWD,Lagenorhynchus albirostris
DWH,Lagenorhynchus acutus
PLD,Lagenorhynchus australis
DBO,Tursiops truncatus
DBZ,Tursiops aduncus
DPN,Stenella attenuata
DSI,Stenella longirostris
DST,Stenella coeruleoalba
DSA,Stenella frontalis
DCL,Stenella clymene
DSP,Stenella
DLP,Delphinidae
PHR,Phocoena phocoena
BRP,Phocoena spinipinnis
VAQ,Phocoena sinus
SPP,Phocaena dioptrica
PFI,Neophocaena phocaenoides
PDA,Phocoenoides dalli
BEL,Delphinapterus leucas
NAR,Monodon monoceros
PYW,Kogia breviceps
DWW,Kogia sima
BOT,Inia geoffrensis
FRA,Pontoporia blainvillei
ODN,Odontoceti
MIW,Balaenoptera acutorostrata
BRW,Balaenoptera edeni
SIW,Balaenoptera borealis
BLW,Balaenoptera musculus
FIW,Balaenoptera physalus
HUW,Megaptera novaeangliae
EUG,Eubalaena glacialis
EUA,Eubalaena australis
BMY,Balaena mysticetus
GRW,Eschrichtius robustus
MYS,Mysticeti
FGI,Rana ridibunda
FOK,Rana catesbeiana
FRG,Rana
ZHB,Hoplobatrachus rugulosus
AYW,Malaclemys terrapin
TUG,Chelonia mydas
TTH,Eretmochelys imbricata
TTL,Caretta caretta
TTS,Trionyx sinensis
TUL,Testudinata
TTX,Testudinata
IMO,Caiman latirostris
IMY,Caiman yacare
CAI,Caiman crocodilus
AGM,Alligator mississippiensis
CDP,Crocodylus porosus
CDS,Crocodylus siamensis
CRH,Crocodylus johnsoni
CRI,Crocodylus niloticus
CNG,Crocodylus novaeguineae
CMB,Crocodylus rhombifer
CME,Crocodylus moreletii
YUU,Crocodylus acutus
YUK,Crocodylia cataphractus
MHW,Melanosuchus niger
UCB,Paleosuchus palpebrosus
UCI,Paleosuchus trigonatus
HGH,Hippospongia lachne
QGB,Spongia barbara
QGG,Spongia graminea
SPO,Spongiidae
QPD,Spongilla
DMO,Demospongiae
CNI,Cnidaria
MFX,Stomolophus meleagris
CWF,Chrysaora plocamia
JCD,Catostylus
JEL,Rhopilema
COL,Corallium rubrum
COJ,Corallium japonicum
CEL,Corallium elatius
COK,Corallium konojoi
CSE,Corallium secundum
CDE,Corallium
GDV,Goniocorella dumosa
QAE,Pseudopterogorgia elisabethae
GGW,Gorgoniidae
FIX,Flabellum
BFU,Paragorgia arborea
CSS,Scleractinia
AQZ,Antipatharia
ATX,Actiniaria
NTW,Pennatulacea
WOR,Polychaeta
HSC,Limulus polyphemus
ECH,Echinodermata
STH,Asterias rubens
STF,Asteroidea
URC,Strongylocentrotus
URM,Paracentrotus lividus
URS,Echinus esculentus
UCH,Loxechinus albus
URX,Echinoidea
HFC,Holothuria scabra
HFN,Holothuria nobilis
HFF,Holothuria fuscogilva
KHG,Cucumaria frondosa
TFQ,Thelenota ananas
CUJ,Apostichopus japonicus
CUX,Holothuroidea
SSR,Pyura stolonifera
SSE,Pyura chilensis
SSG,Microcosmus sulcatus
SSX,Ascidiacea
SPX,Salpidae
INV,Invertebrata
ULL,Spirulina platensis
ULX,Spirulina minima
SIZ,Spirulina
HQW,Chlorella vulgaris
UNI,Dunaliella salina
KII,Codium fragile
KQR,Caulerpa racemosa
CAU,Caulerpa
MTN,Monostroma nitidum
EOW,Enteromorpha clathrata
UVP,Ulva pertusa
UYH,Ulva
HZP,Haematococcus pluvialis
UEC,Capsosiphon fulvescens
SWG,Chlorophyceae
LQD,Laminaria digitata
LNJ,Laminaria japonica
LAH,Laminaria hyperborea
LQX,Saccharina latissima
AJC,Alaria esculenta
UDP,Undaria pinnatifida
UDS,Undaria
LJX,Lessonia nigrescens
LJZ,Lessonia trabeculata
EOZ,Lessonia
MXY,Macrocystis pyrifera
GQO,Macrocystis
ASN,Ascophyllum nodosum
DVA,Durvillaea antarctica
YQT,Cystoseira barbata
GQB,Sargassum fusiforme
QWX,Sargassum
NYQ,Nemacystus decipiens
SWB,Phaeophyceae
YFQ,Phyllophora
GKF,Gymnogongrus furcellatus
EMA,Kappaphycus alvarezii
EMI,Eucheuma denticulatum
EMX,Eucheuma
GJW,Gracilaria verrucosa
GZG,Fragilaria gracilis
GLS,Gracilaria
RHP,Palmaria palmata
IMS,Chondrus crispus
GJK,Gigartina skottsbergii
KDM,Chondracanthus chamissoi
SBQ,Sarcothalia crispata
MZL,Mazzaella laminarioides
GHG,Gigartinaceae
OFN,Porphyra linearis
YKN,Porphyra columbina
PRT,Porphyra tenera
FYS,Porphyra
DGM,Digenea simplex
ASR,Asparagopsis
GDY,Gelidium amansii
GEL,Gelidium
KFV,Callophyllis variegata
SWR,Rhodophyceae
ZOM,Zostera marina
CJW,Scirpus
APL,Plantae aquaticae
SWX,Algae
